incorrect_phrase,preferred_phrase,message,source_label
make homework,do homework,"The common collocation is ""do homework"", not ""make homework"".",starter-collocation
do a decision,make a decision,,starter-collocation
make research,do research,,starter-collocation
do progress,make progress,,starter-collocation
do an effort,make an effort,,starter-collocation
do a plan,make a plan,,starter-collocation
do a complaint,make a complaint,,starter-collocation
do a promise,make a promise,,starter-collocation
do a choice,make a choice,,starter-collocation
do a reservation,make a reservation,,starter-collocation
do an appointment,make an appointment,,starter-collocation
do a payment,make a payment,,starter-collocation
do an improvement,make an improvement,,starter-collocation
do an apology,make an apology,,starter-collocation
do a phone call,make a phone call,,starter-collocation
do a difference,make a difference,,starter-collocation
make business,do business,,starter-collocation
do breakfast,have breakfast,,starter-collocation
do lunch,have lunch,,starter-collocation
do dinner,have dinner,,starter-collocation
make breakfast,have breakfast,,starter-collocation
make lunch,have lunch,,starter-collocation
make dinner,have dinner,,starter-collocation
make fun,have fun,,starter-collocation
do fun,have fun,,starter-collocation
do a shower,take a shower,,starter-collocation
make a shower,take a shower,,starter-collocation
do a break,take a break,,starter-collocation
make a photo,take a photo,,starter-collocation
do a photo,take a photo,,starter-collocation
make a picture,take a picture,,starter-collocation
do a test,take a test,,starter-collocation
make an exam,take an exam,,starter-collocation
do an exam,take an exam,,starter-collocation
do notes,take notes,,starter-collocation
do friends,make friends,,starter-collocation
say a joke,tell a joke,,starter-collocation
say the truth,tell the truth,,starter-collocation
say a lie,tell a lie,,starter-collocation
say a story,tell a story,,starter-collocation
make housework,do housework,,starter-collocation
make the dishes,do the dishes,,starter-collocation
make laundry,do the laundry,,starter-collocation
do the bed,make the bed,,starter-collocation
give attention,pay attention,,starter-collocation
make attention,pay attention,,starter-collocation
give a visit,pay a visit,,starter-collocation
do a visit,pay a visit,,starter-collocation
do a conversation,have a conversation,,starter-collocation
make a conversation,have a conversation,,starter-collocation
do a party,have a party,,starter-collocation
make a party,have a party,,starter-collocation
do a rest,have a rest,,starter-collocation
make a rest,have a rest,,starter-collocation
do noise,make noise,,starter-collocation
do a speech,give a speech,,starter-collocation
do a presentation,give a presentation,,starter-collocation
do a suggestion,make a suggestion,,starter-collocation
make a question,ask a question,,starter-collocation
say a question,ask a question,,starter-collocation
do a report,write a report,,starter-collocation
do a summary,write a summary,,starter-collocation
do a discussion,have a discussion,,starter-collocation
do a recommendation,make a recommendation,,starter-collocation
say advice,give advice,,starter-collocation
make advice,give advice,,starter-collocation
say feedback,give feedback,,starter-collocation
make feedback,give feedback,,starter-collocation
say a speech,give a speech,,starter-collocation
make a speech,give a speech,,starter-collocation
say a presentation,give a presentation,,starter-collocation
say a suggestion,make a suggestion,,starter-collocation
say an opinion,give an opinion,,starter-collocation
do a project,work on a project,,starter-collocation
say a recommendation,make a recommendation,,starter-collocation
say a complaint,make a complaint,,starter-collocation
make a summary,write a summary,,starter-collocation
make an analysis,do an analysis,,starter-collocation
say a conclusion,draw a conclusion,,starter-collocation
make a conclusion,draw a conclusion,,starter-collocation
say an explanation,give an explanation,,starter-collocation
make an explanation,give an explanation,,starter-collocation
do a revision,revise,,starter-collocation
say a response,give a response,,starter-collocation
powerful rain,heavy rain,,starter-collocation
high rain,heavy rain,,starter-collocation
large rain,heavy rain,,starter-collocation
big traffic,heavy traffic,,starter-collocation
strong traffic,heavy traffic,,starter-collocation
hard rain,heavy rain,,starter-collocation
